 INFO - 2023-02-14 02:05:14,048 - main - db connection startup
 INFO - 2023-02-14 02:05:14,163 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 02:05:14,164 - on - Application startup complete.
 INFO - 2023-02-14 02:05:21,039 - server - Shutting down
 INFO - 2023-02-14 02:05:21,141 - on - Waiting for application shutdown.
 INFO - 2023-02-14 02:05:21,143 - main - db connection stutdown
 INFO - 2023-02-14 02:05:21,144 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 02:05:21,145 - mongo - MongoDB connection closed
 INFO - 2023-02-14 02:05:21,145 - on - Application shutdown complete.
 INFO - 2023-02-14 02:05:21,145 - server - Finished server process [42317]
 INFO - 2023-02-14 02:05:21,442 - server - Started server process [42323]
 INFO - 2023-02-14 02:05:21,442 - on - Waiting for application startup.
 INFO - 2023-02-14 02:05:21,442 - main - db connection startup
 INFO - 2023-02-14 02:05:21,512 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 02:05:21,527 - on - Application startup complete.
 INFO - 2023-02-14 02:05:41,842 - server - Shutting down
 INFO - 2023-02-14 02:05:41,943 - on - Waiting for application shutdown.
 INFO - 2023-02-14 02:05:41,943 - main - db connection stutdown
 INFO - 2023-02-14 02:05:41,944 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 02:05:41,944 - mongo - MongoDB connection closed
 INFO - 2023-02-14 02:05:41,944 - on - Application shutdown complete.
 INFO - 2023-02-14 02:05:41,944 - server - Finished server process [42323]
 INFO - 2023-02-14 02:05:42,247 - server - Started server process [42338]
 INFO - 2023-02-14 02:05:42,247 - on - Waiting for application startup.
 INFO - 2023-02-14 02:05:42,247 - main - db connection startup
 INFO - 2023-02-14 02:05:42,307 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 02:05:42,307 - on - Application startup complete.
 INFO - 2023-02-14 02:20:40,471 - server - Shutting down
 INFO - 2023-02-14 02:20:40,573 - on - Waiting for application shutdown.
 INFO - 2023-02-14 02:20:40,573 - main - db connection stutdown
 INFO - 2023-02-14 02:20:40,573 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 02:20:40,573 - mongo - MongoDB connection closed
 INFO - 2023-02-14 02:20:40,573 - on - Application shutdown complete.
 INFO - 2023-02-14 02:20:40,573 - server - Finished server process [42338]
 INFO - 2023-02-14 02:20:40,863 - server - Started server process [42472]
 INFO - 2023-02-14 02:20:40,863 - on - Waiting for application startup.
 INFO - 2023-02-14 02:20:40,863 - main - db connection startup
 INFO - 2023-02-14 02:20:40,954 - mongo - Connected to MongoDB -  DEV environment!
 INFO - 2023-02-14 02:20:40,954 - on - Application startup complete.
 INFO - 2023-02-14 02:21:26,533 - server - Shutting down
 INFO - 2023-02-14 02:21:26,634 - on - Waiting for application shutdown.
 INFO - 2023-02-14 02:21:26,635 - main - db connection stutdown
 INFO - 2023-02-14 02:21:26,635 - mongo - Closing connection to MongoDB
 INFO - 2023-02-14 02:21:26,635 - mongo - MongoDB connection closed
 INFO - 2023-02-14 02:21:26,635 - on - Application shutdown complete.
 INFO - 2023-02-14 02:21:26,635 - server - Finished server process [42472]
